v,s,insum,serr,vmod,smod,gaussian fit params,,
,,,,-495.9799,0.01566,,,
,,,,-494.9799,0.01578,,,
,,,,-493.9799,0.0159,,,
,,,,-492.9799,0.01602,,,
,,,,-491.9799,0.01614,,,
,,,,-490.9799,0.01626,,,
,,,,-489.9799,0.01638,,,
,,,,-488.9799,0.0165,,,
,,,,-487.9799,0.01663,,,
,,,,-486.9799,0.01675,,,
,,,,-485.9799,0.01687,,,
,,,,-484.9799,0.017,,,
,,,,-483.9799,0.01712,,,
,,,,-482.9799,0.01725,,,
,,,,-481.9799,0.01737,,,
,,,,-480.9799,0.0175,,,
,,,,-479.9799,0.01762,,,
,,,,-478.9799,0.01775,,,
,,,,-477.9799,0.01788,,,
,,,,-476.9799,0.01801,,,
,,,,-475.9799,0.01814,,,
,,,,-474.9799,0.01827,,,
,,,,-473.9799,0.0184,,,
,,,,-472.9799,0.01853,,,
,,,,-471.9799,0.01866,,,
,,,,-470.9799,0.01879,,,
,,,,-469.9799,0.01892,,,
,,,,-468.9799,0.01906,,,
,,,,-467.9799,0.01919,,,
,,,,-466.9799,0.01932,,,
,,,,-465.9799,0.01946,,,
,,,,-464.9799,0.01959,,,
,,,,-463.9799,0.01973,,,
,,,,-462.9799,0.01986,,,
,,,,-461.9799,0.02,,,
,,,,-460.9799,0.02014,,,
,,,,-459.9799,0.02028,,,
,,,,-458.9799,0.02041,,,
,,,,-457.9799,0.02055,,,
,,,,-456.9799,0.02069,,,
,,,,-455.9799,0.02083,,,
,,,,-454.9799,0.02097,,,
,,,,-453.9799,0.02111,,,
,,,,-452.9799,0.02125,,,
,,,,-451.9799,0.0214,,,
,,,,-450.9799,0.02154,,,
,,,,-449.9799,0.02168,,,
,,,,-448.9799,0.02183,,,
,,,,-447.9799,0.02197,,,
,,,,-446.9799,0.02211,,,
,,,,-445.9799,0.02226,,,
,,,,-444.9799,0.0224,,,
,,,,-443.9799,0.02255,,,
,,,,-442.9799,0.0227,,,
,,,,-441.9799,0.02284,,,
,,,,-440.9799,0.02299,,,
,,,,-439.9799,0.02314,,,
,,,,-438.9799,0.02329,,,
,,,,-437.9799,0.02343,,,
,,,,-436.9799,0.02358,,,
,,,,-435.9799,0.02373,,,
,,,,-434.9799,0.02388,,,
,,,,-433.9799,0.02403,,,
,,,,-432.9799,0.02419,,,
,,,,-431.9799,0.02434,,,
,,,,-430.9799,0.02449,,,
,,,,-429.9799,0.02464,,,
,,,,-428.9799,0.02479,,,
,,,,-427.9799,0.02495,,,
,,,,-426.9799,0.0251,,,
,,,,-425.9799,0.02525,,,
,,,,-424.9799,0.02541,,,
,,,,-423.9799,0.02556,,,
,,,,-422.9799,0.02572,,,
,,,,-421.9799,0.02588,,,
,,,,-420.9799,0.02603,,,
,,,,-419.9799,0.02619,,,
,,,,-418.9799,0.02635,,,
,,,,-417.9799,0.0265,,,
,,,,-416.9799,0.02666,,,
,,,,-415.9799,0.02682,,,
,,,,-414.9799,0.02698,,,
,,,,-413.9799,0.02714,,,
,,,,-412.9799,0.0273,,,
,,,,-411.9799,0.02746,,,
,,,,-410.9799,0.02762,,,
,,,,-409.9799,0.02778,,,
,,,,-408.9799,0.02794,,,
,,,,-407.9799,0.0281,,,
,,,,-406.9799,0.02826,,,
,,,,-405.9799,0.02842,,,
,,,,-404.9799,0.02858,,,
,,,,-403.9799,0.02875,,,
,,,,-402.9799,0.02891,,,
,,,,-401.9799,0.02907,,,
,,,,-400.9799,0.02924,,,
,,,,-399.9799,0.0294,,,
,,,,-398.9799,0.02957,,,
,,,,-397.9799,0.02973,,,
,,,,-396.9799,0.0299,,,
,,,,-395.9799,0.03006,,,
,,,,-394.9799,0.03023,,,
,,,,-393.9799,0.03039,,,
,,,,-392.9799,0.03056,,,
,,,,-391.9799,0.03072,,,
,,,,-390.9799,0.03089,,,
,,,,-389.9799,0.03106,,,
,,,,-388.9799,0.03122,,,
,,,,-387.9799,0.03139,,,
,,,,-386.9799,0.03156,,,
,,,,-385.9799,0.03173,,,
,,,,-384.9799,0.0319,,,
,,,,-383.9799,0.03206,,,
,,,,-382.9799,0.03223,,,
,,,,-381.9799,0.0324,,,
,,,,-380.9799,0.03257,,,
,,,,-379.9799,0.03274,,,
,,,,-378.9799,0.03291,,,
,,,,-377.9799,0.03308,,,
,,,,-376.9799,0.03325,,,
,,,,-375.9799,0.03342,,,
